Stock_Name,Feature_Vector,MSE,MAPE
SAMAU,Close,0.9995346724586531,6705445445273.481
ADXN,Close,1.0031674405251771,0.6666666666666666
OR,Close,1.4608432707090873,19093564105274.324
CPK,Close,1.0004178028280364,180215035847.7238
ODT,Close,0.9978343742355466,1.0324145270359528
AJG,Close,1.0791498392975356,6674745362314.081
CRC,Close,1.062246177779457,0.7370074210373835
DTE,Close,1.0146979629517647,2750815716677.5117
SVBI,Close,1.00041384764433,2079329173824.661
AMRS,Close,3.7216989853692537,47674092059170.445
AJXA,Close,4.936262053147832,0.5323960240904594
VER,Close,1.0021646354376774,406736337091.9495
AN,Close,1.095809199167749,9853745105803.393
FCN,Close,1.0012284605280448,487393921733.9452
WHLRP,Close,1.0000241027530608,5851760097538.323
BSIG,Close,1.0547415080651623,18014467228960.992
TSRI,Close,2.4596344001847834,0.419891219520079
CPHI,Close,0.8867966548385063,0.2054630937114216
ECOR,Close,0.9998632697035446,1523300550371.971
LAUR,Close,1.4095892580664071,0.14746733876391982
EDIT,Close,1.0082811452842657,1.072749144246491
C,Close,1.003289757633574,891557651575.7214
VGM,Close,1.0128118706884726,3530444918298.9395
AY,Close,1.0270536019095498,9214772323573.406
DGII,Close,0.8478799167869937,0.14897941095873615
GWRE,Close,1.041707609342215,1.350048626658229
BB,Close,4.069742034133338,39226251721886.9
SSSS,Close,1.0000036938254016,722107597971.0815
DXF,Close,56.93297735320931,6.4527248665600885
FAF,Close,1.001687119176733,616180805409.1403
CRSA,Close,1.0064343069433213,0.6666666666666666
SYX,Close,1.0000830901007243,195923904613.321
VNET,Close,1.0287293848838157,6593682605699.969
SZC,Close,2.693487046290127,35769382561700.29
T,Close,1.0002848061736749,215261639155.67914
VGZ,Close,1.019308662697803,5604664044986.12
VICR,Close,1.0003372362950917,372834094825.42126
OIS,Close,16.1271370085414,224992567211404.62
CF,Close,1.493860316442419,8444255837142.883
STAG,Close,1.002010275511595,1644793346075.4146
DISH,Close,1.0000002953235398,2022512843375.4907
RGEN,Close,1.0016137423610936,19492812357.958496
CII,Close,1.0310824763662636,6529402591300.691
ASR,Close,1.0590072391934653,8171663444610.956
THW,Close,1.0548634568809363,0.040160728633592095
NEXT,Close,1.0015336565263362,509348743046.13416
VSH,Close,2.026459243810524,0.24411715244695775
GLRE,Close,5.578437493480508,157933606803487.56
QIWI,Close,1.2325000291618446,3752999195803.9897
DNK,Close,1.3587862457685507,683.2134653740857
SCCB,Close,1.0194081027159614,0.9736842105263158
NWFL,Close,1.0000178244715578,375085210963.46014
EOLS,Close,4.411291654528921,28621019822450.777
DOX,Close,1.0003089731764712,301553172420.2288
